Task ID,Category,Component,Source File (C/ASM),Source Directory,Language,Target Rust Module/File,Description,Functions/Symbols to Convert,Priority,Complexity,Status,Assignee,Dependencies,Rust Crate Dependencies,Notes,Date Started,Date Completed
T-001,Project Setup,Build System,Cargo.toml,/,N/A,Cargo.toml,Initialize Rust project with Cargo workspace; define crate structure and feature flags for Dilithium2/3/5,"workspace setup, feature flags, lib vs bin targets",P0 - Critical,Low,Completed,,None,,Workspace with sub-crates or feature-flag-driven parameter sets,,2026-06-24
T-002,Project Setup,Build System,Makefile,ref/,Makefile,Cargo.toml + build.rs,Replace Makefile build system with Cargo build configuration and optional build.rs,"build targets, compiler flags, shared lib targets",P0 - Critical,Medium,Completed,,T-001,,Makefile defines DILITHIUM_MODE=2/3/5 compile-time flags; map to Cargo features,,2026-06-24
T-003,Project Setup,Build System,Makefile,avx2/,Makefile,Cargo.toml + build.rs,Replace AVX2 Makefile with Cargo config; handle conditional AVX2 compilation,"avx2 build targets, asm linking",P1 - High,Medium,Completed,,T-001,cc (build dep),AVX2 implementation may use inline ASM or link .S files via build.rs,,2026-06-24
T-004,Core Params,Parameters,config.h,ref/,C Header,src/config.rs,Convert config macros (DILITHIUM_RANDOMIZED_SIGNING mode flag) to Rust feature flags or constants,"DILITHIUM_RANDOMIZED_SIGNING, DILITHIUM_MODE, DILITHIUM_NAMESPACE macros",P0 - Critical,Low,Completed,,T-001,,Use cfg feature flags for mode selection,,2026-06-24
T-005,Core Params,Parameters,params.h,ref/,C Header,src/params.rs,Convert all Dilithium parameter constants to Rust const values with feature-gated parameter sets,"SEEDBYTES, CRHBYTES, TRBYTES, RNDBYTES, N, Q, D, ROOT_OF_UNITY, K, L, ETA, TAU, BETA, GAMMA1, GAMMA2, OMEGA, CTILDEBYTES, POLYT1_PACKEDBYTES, POLYT0_PACKEDBYTES, POLYVECH_PACKEDBYTES, POLYZ_PACKEDBYTES, POLYW1_PACKEDBYTES, POLYETA_PACKEDBYTES, CRYPTO_PUBLICKEYBYTES, CRYPTO_SECRETKEYBYTES, CRYPTO_BYTES",P0 - Critical,Low,Completed,,T-004,,Use Rust const and cfg attributes for mode 2/3/5 variants,,2026-06-24
T-006,Core Params,API,api.h,ref/,C Header,src/api.rs,Convert public API type definitions and function prototypes to Rust public traits/functions,"CRYPTO_PUBLICKEYBYTES, CRYPTO_SECRETKEYBYTES, CRYPTO_BYTES, crypto_sign_keypair, crypto_sign_signature, crypto_sign, crypto_sign_verify, crypto_sign_open",P0 - Critical,Medium,Completed,,T-005,,Define idiomatic Rust API with Result return types,,2026-06-24
T-007,Core Crypto,Arithmetic,reduce.c,ref/,C,src/reduce.rs,Convert modular reduction functions (Montgomery & Barrett reduction),"montgomery_reduce, reduce32, caddq, freeze",P0 - Critical,Medium,Completed,,T-005,,Critical math; ensure constant-time behavior is preserved,,2026-06-24
T-008,Core Crypto,Arithmetic,reduce.h,ref/,C Header,src/reduce.rs,Convert reduction function declarations (merge into reduce.rs),"montgomery_reduce, reduce32, caddq, freeze declarations",P0 - Critical,Low,Completed,,T-007,,Header merged into .rs module,,2026-06-24
T-009,Core Crypto,NTT,ntt.c,ref/,C,src/ntt.rs,Convert Number Theoretic Transform forward and inverse transforms,"ntt, invntt_tomont (using zetas table)",P0 - Critical,High,Completed,,T-007,,Performance-critical; zetas lookup table must be const array,,2026-06-24
T-010,Core Crypto,NTT,ntt.h,ref/,C Header,src/ntt.rs,Convert NTT function declarations and zetas extern,"ntt, invntt_tomont declarations",P0 - Critical,Low,Completed,,T-009,,Header merged into .rs module,,2026-06-24
